frame,x1,y1,x2,y2,confidence,class_id,class_name
0,1269,975,1449,1145,0.8261513710021973,14,bird
0,193,456,362,604,0.8167112469673157,14,bird
0,24,551,151,702,0.7906548976898193,14,bird
0,2236,131,2398,418,0.7815781831741333,14,bird
0,3359,573,3441,698,0.781014621257782,14,bird
0,1437,1286,1581,1499,0.7546216249465942,14,bird
0,1130,843,1328,939,0.6932017207145691,14,bird
0,2199,1119,2440,1257,0.6583520770072937,14,bird
0,3155,733,3311,791,0.6473205089569092,14,bird
0,2758,1563,2874,1680,0.6271823048591614,14,bird
0,1686,167,1857,427,0.6219582557678223,14,bird
0,1500,1542,1589,1663,0.6101853847503662,14,bird
0,226,1475,290,1572,0.6067125797271729,14,bird
0,2619,1095,2790,1221,0.5755302309989929,14,bird
0,1688,438,1819,603,0.5737127661705017,14,bird
0,589,1127,687,1201,0.5418083667755127,14,bird
0,610,1614,681,1683,0.5234315991401672,14,bird
0,2895,687,3000,849,0.5193485021591187,14,bird
0,376,1102,471,1202,0.49708542227745056,14,bird
0,2475,1515,2698,1618,0.4553303122520447,14,bird
0,474,1098,525,1196,0.4366680383682251,14,bird
0,3232,1238,3444,1388,0.40851855278015137,14,bird
0,372,1980,428,2120,0.39069029688835144,14,bird
0,3113,1366,3290,1445,0.37697577476501465,14,bird
0,941,1855,997,1903,0.3141355812549591,14,bird
0,1473,0,1521,38,0.3111395239830017,14,bird
0,3014,2008,3102,2049,0.29902103543281555,14,bird
0,1086,1951,1183,1990,0.29289841651916504,14,bird
0,3494,1713,3529,1764,0.29195207357406616,14,bird
0,1880,1759,1970,1837,0.28688061237335205,14,bird
0,2948,1054,2985,1116,0.27616235613822937,14,bird
0,1865,2070,2023,2160,0.2535058259963989,14,bird
1,1278,967,1457,1129,0.8425127863883972,14,bird
1,194,459,363,608,0.8284850716590881,14,bird
1,2234,129,2401,418,0.808783233165741,14,bird
1,8,538,136,697,0.7666444182395935,14,bird
1,1132,849,1332,947,0.7538763284683228,14,bird
1,3352,585,3436,708,0.7447481751441956,14,bird
1,1438,1288,1581,1501,0.7311527729034424,14,bird
1,2631,1089,2806,1217,0.7043119668960571,14,bird
1,1677,148,1851,478,0.6937779784202576,14,bird
1,2207,1115,2444,1257,0.6621381044387817,14,bird
1,219,1477,287,1574,0.6344077587127686,14,bird
1,591,1113,685,1192,0.6276875734329224,14,bird
1,3151,741,3310,796,0.61609947681427,14,bird
1,1499,1539,1590,1658,0.6106950640678406,14,bird
1,2754,1560,2871,1670,0.5834592580795288,14,bird
1,1682,452,1818,611,0.5648070573806763,14,bird
1,610,1616,683,1687,0.5106169581413269,14,bird
1,376,1094,480,1194,0.5054638385772705,14,bird
1,472,1094,526,1189,0.46428775787353516,14,bird
1,2892,685,3004,838,0.4524744153022766,14,bird
1,371,1988,428,2124,0.3869000971317291,14,bird
1,1867,1757,1963,1840,0.3553589880466461,14,bird
1,2491,1543,2715,1644,0.35429108142852783,14,bird
1,3495,1712,3528,1763,0.34431931376457214,14,bird
1,3127,1351,3292,1430,0.3231479525566101,14,bird
1,441,1234,479,1293,0.3137253522872925,14,bird
1,3251,1238,3436,1359,0.29431116580963135,14,bird
1,2947,1058,2984,1117,0.292331725358963,14,bird
1,3016,2006,3106,2048,0.2872318625450134,14,bird
2,198,461,354,616,0.8183505535125732,14,bird
2,1279,956,1461,1118,0.811210036277771,14,bird
2,3343,593,3425,724,0.7970468401908875,14,bird
2,2236,124,2398,412,0.7811943292617798,14,bird
2,0,538,113,694,0.7478100657463074,14,bird
2,1136,860,1332,959,0.7474262714385986,14,bird
2,1438,1293,1584,1506,0.7172086834907532,14,bird
2,2643,1083,2817,1215,0.7117430567741394,14,bird
2,1679,135,1842,443,0.7090428471565247,14,bird
2,2211,1107,2453,1249,0.6956468224525452,14,bird
2,1675,442,1818,620,0.6652532815933228,14,bird
2,587,1097,686,1182,0.6557499766349792,14,bird
2,218,1477,285,1571,0.654996931552887,14,bird
2,1497,1537,1593,1653,0.6402822732925415,14,bird
2,3150,748,3305,803,0.6054558157920837,14,bird
2,377,1085,466,1181,0.5250532627105713,14,bird
2,2748,1556,2871,1664,0.5141236782073975,14,bird
2,610,1620,679,1686,0.45671629905700684,14,bird
2,2886,690,2991,844,0.42026442289352417,14,bird
2,471,1087,526,1182,0.4164005517959595,14,bird
2,2496,1544,2735,1658,0.3923456072807312,14,bird
2,1861,1754,1953,1837,0.3377578556537628,14,bird
2,3495,1712,3528,1762,0.3217599093914032,14,bird
2,367,1993,435,2124,0.3104112148284912,14,bird
2,3014,2002,3104,2043,0.30972811579704285,14,bird
2,440,1227,476,1289,0.30590540170669556,14,bird
2,2946,1057,2985,1116,0.3001022934913635,14,bird
2,3130,1299,3343,1414,0.28766778111457825,14,bird
3,195,468,353,624,0.7993218302726746,14,bird
3,1284,943,1465,1112,0.7906429767608643,14,bird
3,3334,598,3418,728,0.7780967950820923,14,bird
3,1678,125,1841,425,0.7609238624572754,14,bird
3,1439,1298,1586,1504,0.7441473603248596,14,bird
3,1,533,94,688,0.7364755868911743,14,bird
3,2653,1074,2833,1210,0.7335337400436401,14,bird
3,2234,120,2397,407,0.7334847450256348,14,bird
3,1678,460,1820,629,0.7296580076217651,14,bird
3,1149,871,1333,969,0.7185513377189636,14,bird
3,2229,1099,2458,1242,0.6974728107452393,14,bird
3,217,1477,285,1569,0.6574979424476624,14,bird
3,1496,1534,1591,1645,0.6539093852043152,14,bird
3,587,1087,686,1168,0.6494848728179932,14,bird
3,3149,754,3302,812,0.6471647620201111,14,bird
3,2747,1550,2870,1662,0.5784382820129395,14,bird
3,379,1066,467,1173,0.5343731045722961,14,bird
